recall,robot1,robot2,robot3,robot4
0.000000,1.000000,1.000000,1.000000,1.000000
0.010000,1.000000,1.000000,1.000000,1.000000
0.020000,1.000000,1.000000,1.000000,1.000000
0.030000,1.000000,1.000000,1.000000,1.000000
0.040000,1.000000,1.000000,1.000000,1.000000
0.050000,1.000000,1.000000,1.000000,1.000000
0.060000,1.000000,1.000000,1.000000,1.000000
0.070000,1.000000,1.000000,1.000000,1.000000
0.080000,1.000000,1.000000,1.000000,1.000000
0.090000,1.000000,1.000000,1.000000,1.000000
0.100000,1.000000,1.000000,1.000000,1.000000
0.110000,1.000000,1.000000,1.000000,1.000000
0.120000,1.000000,1.000000,1.000000,1.000000
0.130000,1.000000,1.000000,1.000000,1.000000
0.140000,1.000000,1.000000,1.000000,1.000000
0.150000,1.000000,1.000000,1.000000,1.000000
0.160000,1.000000,1.000000,1.000000,1.000000
0.170000,1.000000,1.000000,1.000000,1.000000
0.180000,1.000000,1.000000,1.000000,1.000000
0.190000,1.000000,1.000000,1.000000,1.000000
0.200000,1.000000,1.000000,1.000000,1.000000
0.210000,1.000000,1.000000,1.000000,1.000000
0.220000,1.000000,1.000000,1.000000,1.000000
0.230000,1.000000,1.000000,1.000000,1.000000
0.240000,1.000000,1.000000,0.999978,0.999978
0.250000,1.000000,1.000000,0.999935,0.999935
0.260000,1.000000,1.000000,0.999861,0.999861
0.270000,1.000000,1.000000,0.999666,0.999666
0.280000,1.000000,1.000000,0.999361,0.999361
0.290000,1.000000,1.000000,0.998707,0.998707
0.300000,1.000000,0.999989,0.997872,0.997861
0.310000,0.999986,0.999989,0.996568,0.996543
0.320000,0.999918,0.999967,0.994810,0.994695
0.330000,0.999842,0.999884,0.992677,0.992402
0.340000,0.999693,0.999827,0.990337,0.989857
0.350000,0.999514,0.999741,0.987093,0.986348
0.360000,0.999129,0.999496,0.983046,0.981672
0.370000,0.998518,0.999100,0.977904,0.975553
0.380000,0.997830,0.998346,0.971745,0.968010
0.390000,0.996902,0.997048,0.964088,0.958227
0.400000,0.995515,0.995476,0.955587,0.946875
0.410000,0.993364,0.992822,0.945730,0.932432
0.420000,0.990321,0.989020,0.935352,0.915380
0.430000,0.986562,0.984195,0.924015,0.895952
0.440000,0.979663,0.977785,0.910734,0.870193
0.450000,0.968884,0.969119,0.897971,0.839092
0.460000,0.956227,0.957041,0.884495,0.801946
0.470000,0.941587,0.942652,0.870482,0.760400
0.480000,0.925411,0.928353,0.856759,0.718238
0.490000,0.909470,0.912538,0.842979,0.675634
0.500000,0.892789,0.896098,0.828318,0.631679
0.510000,0.875462,0.878201,0.813328,0.586770
0.520000,0.857456,0.860500,0.798085,0.542149
0.530000,0.841027,0.844135,0.782574,0.501090
0.540000,0.824658,0.827208,0.766564,0.461710
0.550000,0.808668,0.810370,0.751247,0.424342
0.560000,0.792354,0.793373,0.735238,0.388720
0.570000,0.775145,0.775836,0.718949,0.354780
0.580000,0.757172,0.758679,0.700005,0.324506
0.590000,0.738458,0.742741,0.680896,0.296610
0.600000,0.718661,0.726380,0.660346,0.270472
0.610000,0.697531,0.708367,0.637799,0.245679
0.620000,0.675165,0.690445,0.613192,0.223400
0.630000,0.653935,0.669461,0.587113,0.202107
0.640000,0.633420,0.648147,0.559645,0.183332
0.650000,0.612141,0.626697,0.531213,0.166470
0.660000,0.590579,0.604232,0.502331,0.150710
0.670000,0.569131,0.582881,0.473569,0.136459
0.680000,0.546887,0.561382,0.444604,0.123346
0.690000,0.523936,0.539356,0.415252,0.111744
0.700000,0.502958,0.517727,0.388868,0.101571
0.710000,0.480431,0.494342,0.361202,0.092086
0.720000,0.458760,0.470550,0.334906,0.083579
0.730000,0.436636,0.446818,0.308372,0.075766
0.740000,0.414108,0.422994,0.282807,0.068947
0.750000,0.391987,0.399564,0.256199,0.062723
0.760000,0.370399,0.376561,0.231057,0.057329
0.770000,0.349631,0.354025,0.208068,0.052463
0.780000,0.328812,0.331905,0.186531,0.048175
0.790000,0.307701,0.310178,0.167336,0.044152
0.800000,0.287321,0.289282,0.148961,0.040532
0.810000,0.266214,0.267735,0.131859,0.037311
0.820000,0.245324,0.246089,0.116497,0.034494
0.830000,0.224010,0.224891,0.103515,0.031965
0.840000,0.201599,0.202726,0.091359,0.029624
0.850000,0.180378,0.181558,0.080536,0.027611
0.860000,0.158708,0.159835,0.071125,0.025710
0.870000,0.139938,0.141055,0.062997,0.024076
0.880000,0.121811,0.122803,0.055811,0.022496
0.890000,0.104990,0.105852,0.049403,0.021135
0.900000,0.090612,0.091315,0.043749,0.019881
0.910000,0.078147,0.079069,0.038630,0.018679
0.920000,0.067484,0.068234,0.034378,0.017539
0.930000,0.057758,0.058448,0.030690,0.016420
0.940000,0.049686,0.050455,0.027540,0.015364
0.950000,0.043049,0.043818,0.024656,0.014316
0.960000,0.037294,0.038376,0.021935,0.013236
0.970000,0.032467,0.033749,0.019495,0.012113
0.980000,0.027931,0.029352,0.017204,0.010968
0.990000,0.022996,0.024424,0.014957,0.009742
1.000000,0.015206,0.015850,0.010658,0.007514
